"TIPO_PROMO","NOME_PROMO","ELEMENTO_PROMO","MISURA_PROMO","LISTA_ELEM_PROMO","MOV","TIPO_MOV","NOME_TIPO_MOV","NOME_MOV","ELEMENTO_MOV","MISURA_MOV","LISTA_ELEM_MOV","COL_TEST","COL_TEST_NUM","COL_DETT","COL_DETT_NUM","COL_CAMP","COL_CAMP_NUM","COL_PROM","COL_PROM_NUM","COL_CATE","COL_CATE_NUM"
RP,Sconto Percentuale Reparto,Department,Discount Ventilation Dept,Static,"85",BNFTS,Promo Benefits,Sconti Rep Fid,Department,Discount Ventilation Dept,Static,SCONTO_REPARTO,17,SCONTO_REPARTO,43,ID_CAMP_VENTREPARTO,27,ID_PROM_VENTREPARTO,28,ID_CATE_VENTREPARTO,29
RV,Sconto Valore Reparto,Department,Discount Ventilation Dept,Static,"85",BNFTS,Promo Benefits,Sconti Rep Fid,Department,Discount Ventilation Dept,Static,SCONTO_REPARTO,17,SCONTO_REPARTO,43,ID_CAMP_VENTREPARTO,27,ID_PROM_VENTREPARTO,28,ID_CATE_VENTREPARTO,29
TP,Sconto Percentuale Transazione,Ticket,Discount Ventilation Ticket,Static,"86",BNFTS,Promo Benefits,Sconti Ticket Fid,Ticket,Discount Ventilation Ticket,Static,SCONTO_TICKET,18,SCONTO_TICKET,44,ID_CAMP_VENTTICKET,30,ID_PROM_VENTTICKET,31,ID_CATE_VENTRETICKET,32
TV,Sconto Valore Transazione,Ticket,Discount Ventilation Ticket,Static,"86",BNFTS,Promo Benefits,Sconti Ticket Fid,Ticket,Discount Ventilation Ticket,Static,SCONTO_TICKET,18,SCONTO_TICKET,44,ID_CAMP_VENTTICKET,30,ID_PROM_VENTTICKET,31,ID_CATE_VENTRETICKET,32
SM,Sconto MM Set,Products Set,Fixed Value Discount,Static,"87",BNFTS,Promo Benefits,Sconto MM Set,Products Set,Fixed Value Discount,Static,SCONTO_MM_NXM,37,SCONTO_MM_NXM,87,ID_CAMP_SCONTO_MM_NXM,85,ID_PROM_SCONTO_MM_NXM,86,No Category,
LB,Sconto Locale a Valore Tipo B,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LK,Sconto Locale a Valore Tipo K,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LS,Sconto Locale a Valore Tipo S,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LW,Sconto Locale a Valore Tipo W,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LC,Sconto Locale a Valore Tipo C,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LD,Sconto Locale a Valore Tipo D,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
